lon,lat,administrado,unidad,subsector,riesgo,peligro,vulnerabilidad,pasivo_minero,pasivo_hidrocarburo,conflicto_socioamb
-71.92823,-15.45807,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,Tambomayo,Minería,Alto,Moderado,Alto,0,Sin pasivo,Sin conflicto
-78.0246,-8.11163,A & M MINERIA Y MAQUINARIAS S.A.C.,Santa Rosa,Minería,Alto,Alto,Muy alto,0,Sin pasivo,Sin conflicto
-76.14034,-11.62616,MINERA CHINALCO PERÚ S.A.,Toromocho,Minería,Alto,Alto,Alto,6-10,Sin pasivo,Sin conflicto
-71.85769,-15.18664,MINERA BATEAS S.A.C.,San Cristóbal,Minería,Alto,Moderado,Alto,11-más,Sin pasivo,Sin conflicto
-78.32179,-8.00508,COMPAÑIA MINERA QUIRUVILCA S.A. EN LIQUIDACION; MINISTERIO DE ENERGIA Y MINAS,Quiruvilca,Minería,Alto,Alto,Alto,1-5,Sin pasivo,Sin conflicto
-76.53274,-11.17553,SANTANDER PERUVIAN MINE S.A.C.,Santander,Minería,Alto,Moderado,Alto,11-más,Sin pasivo,Sin conflicto
-73.13192,-14.63264,COMPANIA MINERA ARES S.A.C.,Selene,Minería,Alto,Moderado,Alto,1-5,Sin pasivo,Sin conflicto
-75.149,-13.17784,CIA MINERA SANTA INES Y MOROCOCHA S A,San Genaro,Minería,Alto,Alto,Alto,11-más,Sin pasivo,Sin conflicto
-78.6996,-6.74496,ANTA NORTE S.A.C.,Anta norte,Minería,Alto,Moderado,Alto,11-más,Sin pasivo,Sin conflicto
-73.18248,-14.794,COMPANIA MINERA ARES S.A.C.,Pablo Sur,Minería,Alto,Bajo,Muy alto,1-5,Sin pasivo,Sin conflicto
-76.30685,-11.81439,COMPANIA MINERA SAN JUAN S.R.L.,Tamboraque,Minería,Alto,Moderado,Alto,11-más,Sin pasivo,Sin conflicto
-76.97205,-10.22262,CIA MINERA SANTA LUISA S A,Berlin,Minería,Alto,Moderado,Muy alto,0,Sin pasivo,Sin conflicto
-78.48145,-6.98828,MINERA YANACOCHA S.R.L.,Carachugo,Minería,Alto,Bajo,Muy alto,0,Sin pasivo,Sin conflicto
-76.45094,-11.88725,HORNOS ELECTRICOS PERUANOS S.A.,Planta Surco,Industria,Alto,Alto,Alto,0,Sin pasivo,Sin conflicto
-75.31213,-12.9276,MINERA DEL NORTE SA,Choreveco Tacna,Minería,Alto,Moderado,Alto,0,Sin pasivo,Sin conflicto
-75.80792,-12.29261,ABARCA ROSALES MIRIAM ISABEL,Abarca Rosales Miriam Isabel - Comunidad de Tingo Alis,Hidrocarburos,Alto,Alto,Moderado,0,Sin pasivo,Sin conflicto
-75.90953,-12.03339,RED DE ENERGIA DEL PERU SA,L.T. 220 kV Mantaro - Pomacocha - San Juan,Electricidad,Alto,Moderado,Muy alto,0,Sin pasivo,Sin conflicto
-76.01308,-10.16536,CONSORCIO TRANSMANTARO S.A.,Enlace 500 kV Nueva Yanango – Nueva Huánuco y Subestaciones Asociadas,Electricidad,Alto,Alto,Muy alto,0,Sin pasivo,Sin conflicto
-69.99081,-15.81675,ADM-PROV-PUNO,Puno 7,Residuos Sólidos,Alto,Moderado,Alto,0,Sin pasivo,Sin conflicto
-78.1159,-7.87154,LA ARENA S.A.,Agua Blanca,Minería,Alto,Bajo,Muy alto,1-5,Sin pasivo,Sin conflicto
-73.1954,-14.78871,COMPANIA MINERA ARES S.A.C.,Minascucho,Minería,Alto,Bajo,Muy alto,1-5,Sin pasivo,Sin conflicto
