lon,lat,locacion,yacimiento,administrado,etapa,estatus,area_m2,evaluaciones,puntos_exceden,anio_supervision,estado_locacion,departamento,provincia,distrito
-81.18338,-4.39939,AA9163,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Sin afectación,0.0,2da Evaluacion,,2022.0,Supervisado,PIURA,TALARA,LOBITOS
-81.18816,-4.39183,AA9001,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,2da Evaluacion,,,No supervisado,PIURA,TALARA,LOBITOS
-81.18011,-4.40129,AA6012,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,2da Evaluacion,,,Observado,PIURA,TALARA,LOBITOS
-81.17856,-4.39776,AA9167,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Sin afectación,0.0,1ra Evaluacion,,2023.0,Supervisado,PIURA,TALARA,LOBITOS
-81.17455,-4.40288,AA9986,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,1ra Evaluacion,,,No supervisado,PIURA,TALARA,LOBITOS
-81.15014,-4.38276,AA6821,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Sin afectación,0.0,4ta Evaluacion,,2022.0,Supervisado,PIURA,TALARA,LOBITOS
-81.20794,-4.26499,PZA-BORRAS-BAT-TA26,Verde,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Sin afectación,0.0,2da Evaluacion,,2016.0,Supervisado,PIURA,TALARA,EL ALTO
-81.18074,-4.39807,AA2019_TUB,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,1ra Evaluacion,,,No supervisado,PIURA,TALARA,LOBITOS
-81.18448,-4.39721,AA1564,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Sin afectación,0.0,4ta Evaluacion,,2016.0,Supervisado,PIURA,TALARA,LOBITOS
-81.15256,-4.37233,AA6316,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Sin afectación,0.0,1ra Evaluacion,,2022.0,Supervisado,PIURA,TALARA,LOBITOS
-81.18319,-4.40204,EA188,Reventones,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Sin afectación,0.0,1ra Evaluacion,,2025.0,Supervisado,PIURA,TALARA,LOBITOS
-81.18722,-4.3929,AA9159,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Con afectación,281.57,3ra Evaluacion,1,2023.0,Supervisado,PIURA,TALARA,LOBITOS
-81.18722,-4.3929,QDA-AA9159,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Con afectación,0.0,4ta Evaluacion,,,Por definir,PIURA,TALARA,LOBITOS
-81.18791,-4.39306,AA6459,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,3ra Evaluacion,,,No supervisado,PIURA,TALARA,LOBITOS
-81.18816,-4.39183,AA1848,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Sin afectación,0.0,2da Evaluacion,,2023.0,Supervisado,PIURA,TALARA,LOBITOS
-81.17625,-4.39597,AA9987,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,2da Evaluacion,,,Observado,PIURA,TALARA,LOBITOS
-81.17988,-4.39748,AA9879,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,1ra Evaluacion,,,Observado,PIURA,TALARA,LOBITOS
-81.17484,-4.39573,AA10201,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Sin afectación,0.0,2da Evaluacion,,2023.0,Supervisado,PIURA,TALARA,LOBITOS
-81.15463,-4.37893,AA6589,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Con afectación,91.98,2da Evaluacion,1,2022.0,Supervisado,PIURA,TALARA,LOBITOS
-81.16336,-4.39316,AA6094,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,2da Evaluacion,,,No supervisado,PIURA,TALARA,LOBITOS
-81.16667,-4.40028,AA6042,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,2da Evaluacion,,,No supervisado,PIURA,TALARA,LOBITOS
-81.15891,-4.38041,AA6281,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,3ra Evaluacion,,,No supervisado,PIURA,TALARA,LOBITOS
-81.16404,-4.39136,AA6618,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,4ta Evaluacion,,,No supervisado,PIURA,TALARA,LOBITOS
-81.1631,-4.39949,AA7606,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,1ra Evaluacion,,,No supervisado,PIURA,TALARA,LOBITOS
-81.16584,-4.39239,AA6619,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Sin afectación,0.0,2da Evaluacion,,2023.0,Supervisado,PIURA,TALARA,LOBITOS
-81.16584,-4.39239,AA6369,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,2da Evaluacion,,,No supervisado,PIURA,TALARA,LOBITOS
-81.14786,-4.37915,AA6704,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Sin afectación,0.0,2da Evaluacion,,2022.0,Supervisado,PIURA,TALARA,LOBITOS
-81.15002,-4.37527,AA6368,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Sin afectación,0.0,2da Evaluacion,,2022.0,Supervisado,PIURA,TALARA,LOBITOS
-81.16217,-4.395,AA7609,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,2da Evaluacion,,,Observado,PIURA,TALARA,LOBITOS
-81.16336,-4.39316,AA6379,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Sin afectación,0.0,2da Evaluacion,,2023.0,Supervisado,PIURA,TALARA,LOBITOS
