lon,lat,codigo,federacion,zona,tipo_impacto,fuente_impacto,antiguedad,lote,empresa,anio,detecto,descripcion,ubicacion,remediacion,responsable,estado_validacion
-76.146431,-2.457636,CAS201615,FECONACO,,Derrame nuevo de petróleo,,,Lote 1AB/192,"Pacific Stratus Energy del Perú, S.A.",2016,2016-04-13,El derrame se dio debido a la alta presión. Se demoraron 20 días en hacer la limpieza con 12 trabajadores.,"Pozo 6. Ocurrió a unos 200 metros de la vía Shiviyacu-Forestal, en el km 3,5.",,Lady,1. Validado parcial
-76.13817,-2.494006,COE201542.4,"OEFA, FECONACO",,otro,,,Lote 1AB/192,PlusPetrol Norte S.A,2015,19/08/2015,,Batería Shiviyacu.,,Lady,1. Validado parcial
-76.137039,-2.6491071,COE201405,"OEFA, FECONACO",,Derrame nuevo de petróleo,,,Lote 1AB/192,PlusPetrol Norte S.A,2014,04/05/2014 01/05/2014,El evento tuvo un impacto significativo en la quebrada Peñayacu.,"En la carretera principal Huayuri-Jibarito, Km 19+100, en Yacimiento Jibarito. Carretera Jerusalén a Jibarito, km 19.",0.0,Cielo,1. Validado parcial
-76.1378967,-2.49658429,COE201705/CAS201705,"OEFA, FECONACO",,Derrame nuevo de petróleo,,,Lote 1AB/192,"Pacific Stratus Energy del Perú, S.A.",2017,2017-05-26,El evento afectó a la comunidad José Olaya.,"Floyente de machari, Tanque de sumidero del pozo 19, en bateria Shiviyacu. Carretera de Bateria Shiviyacu a Bateria Forestal, en el km 1. Afectó el territorio de la comunidad José Olaya.",1.0,Ana Paula,2. Validado final
-76.136248,-2.486093,COE200702.1/CGS200703,"OSINERGMIN, FECONACO",,Derrame nuevo de petróleo,,,Lote 1AB/192,PlusPetrol Norte S.A,2007,21/03/2007 04/04/2007,El evento ocurrió debido a la oxidación externa del oleoducto. Afectó a un riachuelo. El área afectada abarca 150m2 de superficie con flora y 200m de un canal natural.,Batería Shiviyacu. En el km 6+800 de la carretera Shiviyacu-Forestal (a la entrada al pozo Shiv-27).,1.0,Claudia,2. Validado final
-76.13354,-2.4971212,CIC201003,FECONACO,,Derrame nuevo de petróleo,,Antiguo,Lote 1AB/192,PlusPetrol Norte S.A,2010,2010-03-12,Colcha contaminada.,Batería Forestal.,,Ale,1. Validado parcial
-76.13251965,-2.45534932,COE201704/CAS201704,"OEFA, FECONACO",,agua producida,,,Lote 1AB/192,"Pacific Stratus Energy del Perú, S.A.",2017,20/05/2017 19/05/2017,Afectó a la quebrada Huasay y las zonas de caza y pesca de Huasay y Olaya. Se encontraron peces muertos.,"Pozo 6 de Batería Shiviyacu y Forestal, por el km 5, en territorio de la comunidad José Olaya.",1.0,Ana Paula,2. Validado final
-76.131454,-2.454004,CGS200704,FECONACO,,Derrame antiguo de petróleo,,,Lote 1AB/192,,2007,2007-04-24,,Batería Shiviyacu.,,Claudia,2. Validado final
-76.129318,-2.532673,CAS201610,FECONACO,,Botadero,,,Lote 1AB/192,,2016,2016-02-04,,Información de un cuaderno. No. 280,,Lady,1. Validado parcial
-76.129141,-2.483557,TTX20211,OPIKAFPE,San Jacinto & 1A,Derrame de crudo,Batería,Nuevo,Lote 1AB/192,Frontera Energy,2021.0,14/01/2021,Derrame de sump tank de batería 1A cerca de 12 de Octubre,"1A, Doce de Octubre",,,
-76.129155,-2.531932,CAS201609,FECONACO,,Botadero,,,Lote 1AB/192,,2016,2016-02-04,,Información de un cuaderno. No. 279,,Lady,1. Validado parcial
-76.129128,-2.531335,CAS201608,FECONACO,,Botadero,,,Lote 1AB/192,,2016,2016-02-03,,Información de un cuaderno.No. 278.,,Lady,1. Validado parcial
-76.128765,-2.442781,CAS201611,FECONACO,,Botadero,,,Lote 1AB/192,,2016,2016-02-04,,Información de un cuaderno. No. 281.,,Lady,1. Validado parcial
-76.128606,-2.531199,CAS201607,FECONACO,,Botadero,,,Lote 1AB/192,,2016,2016-02-03,,Información de un cuaderno. No. 277.,,Lady,1. Validado parcial
-76.128184,-2.532728,CAS201612,FECONACO,,Botadero,,,Lote 1AB/192,,2016,2016-02-04,,Información de un cuaderno. No. 282,,Lady,1. Validado parcial
-76.128022,-2.53205,CAS201613,FECONACO,,Botadero,,,Lote 1AB/192,,2016,2016-02-04,,Información de un cuaderno. No. 283,,Lady,1. Validado parcial
-76.127867,-2.529898,CAS201606,FECONACO,,Botadero,,,Lote 1AB/192,,2016,2016-02-03,,Información de un cuaderno. No. 276.,,Lady,1. Validado parcial
-76.127247,-2.530179,CAS201605,FECONACO,,Botadero,,,Lote 1AB/192,,2016,2016-02-03,,Información de un cuaderno. No. 275.,,Lady,1. Validado parcial
-76.12705,-2.531309,CAS201604,FECONACO,,Botadero,,,Lote 1AB/192,,2016,2016-02-03,,Información de un cuaderno. No. 274.,,Lady,1. Validado parcial
-76.126069,-2.530035,CAS201618,FECONACO,,Botadero,,,Lote 1AB/192,,2016,2016-02-12,,Información de un cuaderno. No. 289,,Lady,1. Validado parcial
-76.12587,-2.529637,CAS201617,FECONACO,,Botadero,,,Lote 1AB/192,,2016,2016-02-12,,Información de un cuaderno. No. 288,,Lady,1. Validado parcial
-76.125611,-2.531066,CAS201619,FECONACO,,Botadero,,,Lote 1AB/192,,2016,2016-02-12,,Información de un cuaderno. No. 290,,Lady,1. Validado parcial
-76.125277,-2.529746,CAS201616,FECONACO,,Botadero,,,Lote 1AB/192,,2016,2016-02-12,,Información de un cuaderno. No. 287,,Lady,1. Validado parcial
-76.125224,-2.53094,CAS201620,FECONACO,,Botadero,,,Lote 1AB/192,,2016,2016-02-12,,Información de un cuaderno. No. 291,,Lady,1. Validado parcial
-76.125125,-2.530361,CAS201614,FECONACO,,Botadero,,,Lote 1AB/192,,2016,2016-02-04,,Información de un cuaderno. No. 286,,Lady,1. Validado parcial
-76.116424,-2.407677,CNS20192,FECONACOR,"Forestal, Shiviyacu, Carmen, Huayurí, Huayurí Norte",Derrame de agua de formación,,Nuevo,Lote 1AB/192,Frontera Energy,,2019-11-06,"Charco de agua, no está claro de donde proviene",,,Laura,1. Validado parcial
-76.116388,-2.408057,CNS20191,FECONACOR,"Forestal, Shiviyacu, Carmen, Huayurí, Huayurí Norte",Derrame de crudo,,Nuevo,Lote 1AB/192,Frontera Energy,,2019-11-06,Trazas de crudo en suelo y agua,,,Laura,1. Validado parcial
-76.04431,-2.709107,CWH20192,FECONACOR,Jibarito,Derrame de crudo,oleoducto,Nuevo,Lote 1AB/192,Frontera Energy,,19/05/2019,"Quiebra en la tubería, el derrame ocurrió sobre una pendiente que se precipita varios metros hasta llegar a una quebrada. La tierra arcillosa cavada presenta evidencias de haberse mezclado con petróleo","Isla Jíbaro, Antioquía",1.0,Laura,1. Validado parcial
-76.044201,-2.7079405,CRP201001,FECONACO,,Derrame nuevo de petróleo,,Antiguo,Lote 1AB/192,PlusPetrol Norte S.A,2010,2010-01-06,Afectó a un aguajal.,Batería Jibarito.,,Ale,1. Validado parcial
-76.042278,-2.720127,CWH20196,FECONACOR,Jibarito,Derrame de crudo,Tubería,Nuevo,Lote 1AB/192,Frontera Energy,2019.0,,"Derrame grande que contamina al río Corrientes, afectando varias comunidades rio abajo como Pampa Hermosa, Pucacuro, hasta Lote 8. Información de OEFA menciona que fue en tubo hacia batería Jibarito, y estiman o 23,353 o 75,544 barriles derramados de crudo mezclado con agua de producción.",Batería jibarito,,,
-76.041744,-2.7073727,COE200907.1/CJV200901,"OSINERGMIN, FECONACO",,Derrame nuevo de petróleo,,Antiguo,Lote 1AB/192,PlusPetrol Norte S.A,2009,12/09/2009 14/09/2009,El derrame se produjo por una antigua mordaza de hierro. Afecta a la isla Jibarito.,Batería Jibarito (Sección 9 de la línea principal 8'' en los pozos de Isla Jíbarito).,,Ale,1. Validado parcial
-76.037125,-2.722501,CJV201001,FECONACO,,Derrame nuevo de petróleo,,Antiguo,Lote 1AB/192,PlusPetrol Norte S.A,2010,2010-03-02,Afecta a la isla Jibaro y el río Corrientes.,Batería Jibarito.,,Ale,1. Validado parcial
-76.033976,-2.700776,CWH20191,FECONACOR,Jibarito,Derrame de agua de formación,Sump Tank,Nuevo,Lote 1AB/192,Frontera Energy,,2017-08-07,"Derrame de Sump Tank en plátaforma HPS de Jibaro Isla. Según OEFA, se derramaron 920.823 barriles de agua de reinyección conteniendo trazas de crudo.  Afecta la quebrada Pumayacu (7km), y Hugococha. Crudo en sedimentos submergido en el agua, aflora cuando se remueve los sedimentos.","Cerca de Jibarito, Antioquia",1.0,Laura,1. Validado parcial
-76.0292,-2.711364,CEH200702,FECONACO,,fuga,,,Lote 1AB/192,PlusPetrol Norte S.A,2007,2007-10-23,,Batería Jibarito,,Claudia,2. Validado final
-76.02806022,-2.71801528,CWH20194,FECONACOR,Jibarito,Botadero,,Antiguo,Lote 1AB/192,Pluspetrol Norte,,,Bidones,,,Laura,1. Validado parcial
-76.027029,-2.750714,COE201003.3/CRP201002,"OSINERGMIN, FECONACO",,Derrame nuevo de petróleo,,Antiguo,Lote 1AB/192,PlusPetrol Norte S.A,2010,11/05/2010 13/05/2010,Se detectó cuando el operador encargado encontró crudo saliendo del antorcha.,Batería Jibarito.,,Ale,1. Validado parcial
-76.025535,-2.74915,CBM20231,FECONACOR,Jibarito,Derrame de crudo,Tubería,Nuevo,Lote 1AB/192,Perupetro,2023.0,25/01/2023,"72.87m², contaminación de suelo",CC.NN. Antioquia,,,
-76.025481,-2.738531,CTW201602,FECONACO,,Derrame nuevo de petróleo,,,Lote 1AB/192,"Pacific Stratus Energy del Perú, S.A.",2016,01/05/2016,Afecta al riachuelo de Pungacungayacu que fluye hacia el río Corrientes.,Batería Jibarito.,,Lady,1. Validado parcial
-76.025028,-2.7459487,COE200903/CJC200901,"OEFA, FECONACO",,Derrame nuevo de petróleo,,Antiguo,Lote 1AB/192,PlusPetrol Norte S.A,2009,2009-01-09,"Un derrame de bastante crudo afectó a la quebrada Pucakungayacu, quebrada Tseku entsa y el río Corrientes. Se dio debido a la oxidación externa de un tubo enterrado proveniente de la Batería Jibarito. Según el informe, la inversión en medidas preventivas para proteger contra posibles derrames era in","Batería Jibarito, pozo 9.",,Ale,1. Validado parcial
-76.021396,-2.75839,CJC200602,FECONACO,,Derrame nuevo de petróleo,,,Lote 1AB/192,PlusPetrol Norte S.A,2006,2006-11-13,El evento afectó a la quebrada Paniyacu Grande.,Batería Jibarito,,Claudia,2. Validado final
