lon,lat,nro,lote,tipo,anio,riesgo_salud,riesgo_poblacion,riesgo_ambiente,cuenca,region_hidrografica,departamento,provincia,distrito,oficio
-81.23527,-4.60704,799,I,Pozo mal abandonado,2014,Bajo,Bajo,Bajo,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,Pariñas,081-2015-OEFA/DE
-81.29416,-4.63358,800,I,Pozo mal abandonado,2014,Bajo,Bajo,Bajo,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,00001-2015-OEFA-DE
-81.25047,-4.43374,857,VII/VI,Pozo mal abandonado,2014,Bajo,Bajo,Bajo,Intercuenca 13931,Región Hidrografica del Pacífico,Piura,Talara,Lobitos,001-2015-OEFA/DE
-81.21518,-4.66511,858,VII/VI,"Pozo mal abandonado, suelos contaminados con efluente o derrame, emisiones",2016,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,276-2016-OEFA/DE
-81.25362,-4.43696,859,VII/VI,Pozo mal abandonado,2014,Bajo,Bajo,Bajo,Intercuenca 13931,Región Hidrografica del Pacífico,Piura,Talara,Lobitos,001-2015-OEFA/DE
-81.24765,-4.66875,860,VII/VI,"Pozo mal abandonado, suelos contaminados con efluente o derrame, emisiones",2014,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,15-2015-OEFA/DE
-81.24872,-4.61286,939,VII/VI,"Pozo mal abandonado, emisiones",2016,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,239-2016-OEFA/DE
-81.29008,-4.63535,940,I,Pozo mal abandonado,2014,Bajo,Bajo,Bajo,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,47-2015-OEFA/DE
-81.24527,-4.61775,941,VII/VI,"Pozo mal abandonado, suelos contaminados con efluente o derrame",2016,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,239-2016-OEFA/DE
-81.15043,-4.59156,942,IV,"Pozo mal abandonado, suelos contaminados con efluente o derrame",2014,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,Pariñas,47-2015-OEFA/DE
-81.24683,-4.69515,737,VII/VI,Pozo mal abandonado,2014,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,00001-2015-OEFA-DE
-81.25786,-4.69657,738,VII/VI,Pozo mal abandonado con presencia de emisiones gaseosas fugitivas,2019,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,Oficio N° 317-2019-OEFA-DEAM
-81.11001,-4.81437,739,III,"Pozo mal abandonado, emisiones",2014,Medio,Medio,Medio,Cuenca Chira,Región Hidrografica del Pacífico,Piura,Paita,Vichayal,081-2015-OEFA/DE
-81.24136,-4.68057,740,VII/VI,"Pozo mal abandonado, suelos contaminados con efluente o derrame",2013,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,001-2015-OEFA/DE
-81.19793,-4.65402,801,VII/VI,Pozo mal abandonado,2013,Bajo,Bajo,Bajo,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,221-2013-OEFA/DE
-81.19231,-4.65889,802,VII/VI,"Pozo mal abandonado, suelos contaminados con efluente o derrame",2016,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,276-2016-OEFA/DE
-81.12333,-4.66121,803,III,"Pozo mal abandonado, suelos contaminados con efluente o derrame",2014,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,081-2015-OEFA/DE
-81.29774,-4.63692,804,I,Pozo mal abandonado,2014,Bajo,Bajo,Bajo,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,00001-2015-OEFA-DE
-81.2581,-4.68928,861,VII/VI,"Pozo mal abandonado, suelos contaminados con efluente o derrame, emisiones",2016,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,276-2016-OEFA/DE
-81.23031,-4.65186,862,VII/VI,"Pozo mal abandonado, emisiones",2013,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,081-2015-OEFA/DE
-81.26981,-4.44999,863,VII/VI,Pozo mal abandonado,2014,Bajo,Bajo,Bajo,Intercuenca 13931,Región Hidrografica del Pacífico,Piura,Talara,Lobitos,001-2015-OEFA/DE
-81.27116,-4.70301,864,VII/VI,"Pozo mal abandonado, suelos contaminados con efluente o derrame, emisiones",2016,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,276-2016-OEFA/DE
-81.29194,-4.63574,923,I,"Pozo mal abandonado, suelos contaminados con efluente o derrame",2014,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,47-2015-OEFA/DE
-81.24424,-4.62056,924,VII/VI,Pozo mal abandonado,2014,Bajo,Bajo,Bajo,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,001-2015-OEFA/DE
-81.29541,-4.63872,925,I,"Pozo mal abandonado, suelos contaminados con efluente o derrame",2014,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,47-2015-OEFA/DE
-81.1756,-4.65161,926,VII/VI,"Pozo mal abandonado, emisiones",2014,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,001-2015-OEFA/DE
-81.29813,-4.66254,741,VII/VI,"Pozo mal abandonado, suelos contaminados con efluente o derrame",2014,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,081-2015-OEFA/DE
-81.14413,-4.64798,742,III,"Pozo mal abandonado, suelos contaminados con efluente o derrame",2014,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,00001-2015-OEFA-DE
-81.29775,-4.65855,743,VII/VI,"Pozo mal abandonado, suelos contaminados con efluente o derrame",2014,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,081-2015-OEFA/DE
-81.29696,-4.64653,744,VII/VI,"Pozo mal abandonado, suelos contaminados con efluente o derrame",2014,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,081-2015-OEFA/DE
-81.19672,-4.65449,805,VII/VI,Pozo mal abandonado,2013,Bajo,Bajo,Bajo,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,221-2013-OEFA/DE
-81.20882,-4.66928,806,VII/VI,"Pozo mal abandonado, suelos contaminados con efluente o derrame, emisiones",2016,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,276-2016-OEFA/DE
-81.12492,-4.65795,807,III,Pozo mal abandonado,2014,Bajo,Bajo,Bajo,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,081-2015-OEFA/DE
-81.21883,-4.60812,808,I,"Pozo mal abandonado, suelos contaminados con efluente o derrame, restos o depósitos de residuos",2014,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,00001-2015-OEFA-DE
-81.22887,-4.65257,865,VII/VI,"Pozo mal abandonado, emisiones",2013,Bajo,Medio,Bajo,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,081-2015-OEFA/DE
-81.26819,-4.43737,866,VII/VI,Pozo mal abandonado,2014,Bajo,Bajo,Bajo,Intercuenca 13931,Región Hidrografica del Pacífico,Piura,Talara,Lobitos,001-2015-OEFA/DE
-81.29895,-4.67917,867,VII/VI,"Pozo mal abandonado, suelos contaminados con efluente o derrame",2013,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,081-2015-OEFA/DE
-81.26236,-4.44309,868,VII/VI,"Pozo mal abandonado, suelos contaminados con efluente o derrame",2014,Medio,Medio,Medio,Intercuenca 13931,Región Hidrografica del Pacífico,Piura,Talara,Lobitos,001-2015-OEFA/DE
-81.28694,-4.63727,931,I,"Pozo mal abandonado, restos o depósitos de residuos",2014,Bajo,Bajo,Bajo,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,231-2014-OEFA/DE
