lon,lat,nombre,tipo,etnia,familia_ling,federacion,zona
-76.6249,-5.67012,Soledad,Principal,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
-76.7611,-5.15801,Andongo,Anexo,Chayahuita (Shawi),Cahuapana,FECOSHASI,Marañón
-76.78449,-5.33029,Bella Loma,Anexo,Chayahuita (Shawi),Cahuapana,OKAPIASI,Marañón
-76.93428,-5.12294,Buenos Aires,Anexo,Chayahuita (Shawi),Cahuapana,FECONADIC,Marañón
-76.78076,-5.27852,Chacatan,Anexo,Chayahuita (Shawi),Cahuapana,FECOSHASI,Marañón
-76.95315,-5.14663,Chopi Loma,Anexo,Chayahuita (Shawi),Cahuapana,FECONADIC,Marañón
-77.06481,-5.22856,Inayuga,Anexo,Chayahuita (Shawi),Cahuapana,FECONADIC,Marañón
-76.96568,-5.15374,Inchiyacu,Anexo,Chayahuita (Shawi),Cahuapana,FECONADIC,Marañón
-76.92866,-5.32833,José Olaya,Anexo,Aguaruna (Awajun),Jíbaro,FECONADIC,Marañón
-76.77905,-5.32119,Puerto Kumpanama,Anexo,Chayahuita (Shawi),Cahuapana,OKAPIASI,Marañón
-76.78355,-5.32117,Miraflores,Anexo,Chayahuita (Shawi),Cahuapana,OKAPIASI,Marañón
-76.75431,-5.07227,Nueva Vida Leche Caspe,Anexo,Chayahuita (Shawi),Cahuapana,FECOSHASI,Marañón
-77.08356,-5.24308,Nuevo Progreso,Anexo,Aguaruna (Awajun),Jíbaro,ORADIC,Marañón
-77.16885,-5.22304,Nuevo Milagro,Anexo,Aguaruna (Awajun),Jíbaro,ORADIC,Marañón
-77.06203,-5.2425,Nuevo Triunfo,Anexo,Chayahuita (Shawi),Cahuapana,FECONADIC,Marañón
-76.77931,-5.31317,Pijuayal,Anexo,Chayahuita (Shawi),Cahuapana,OKAPIASI,Marañón
-76.81201,-5.37263,San Antonio,Anexo,Chayahuita (Shawi),Cahuapana,OKAPIASI,Marañón
-76.9896,-5.18636,San Juan,Anexo,Chayahuita (Shawi),Cahuapana,FECONADIC,Marañón
-76.79414,-5.35908,San Miguel,Anexo,Chayahuita (Shawi),Cahuapana,OKAPIASI,Marañón
-76.76392,-5.19597,San Pedro de Yanayaquillo,Anexo,Chayahuita (Shawi),Cahuapana,FECOSHASI,Marañón
-76.95736,-5.30819,San Salvador,Anexo,Aguaruna (Awajun),Jíbaro,FECONADIC,Marañón
-76.78591,-5.23982,Santa Cruz,Anexo,Chayahuita (Shawi),Cahuapana,FECOSHASI,Marañón
-77.04648,-5.22979,Santa Rosa,Anexo,Chayahuita (Shawi),Cahuapana,FECONADIC,Marañón
-76.75392,-5.10051,Sinchi Roca,Anexo,Chayahuita (Shawi),Cahuapana,FECOSHASI,Marañón
-76.93744,-5.35071,Yanayacu,Anexo,Aguaruna (Awajun),Jíbaro,FECONADIC,Marañón
-76.77522,-5.22122,Zapote,Anexo,Chayahuita (Shawi),Cahuapana,FECOSHASI,Marañón
-76.99921,-5.31908,Pongo,Anexo,Aguaruna (Awajun),Jíbaro,FECONADIC,Marañón
-76.95023,-5.32886,Kawit,Principal,Aguaruna (Awajun),Jíbaro,ORADIC,Marañón
-76.93907,-5.12932,Barranquita,Principal,Chayahuita (Shawi),Cahuapana,FECONADIC,Marañón
-76.987,-5.28685,Caupan,Principal,Aguaruna (Awajun),Jíbaro,FECONADIC,Marañón
-76.78354,-5.24262,Palmiche,Principal,Chayahuita (Shawi),Cahuapana,FECOSHASI,Marañón
-76.75931,-5.1494,Pandora,Principal,Chayahuita (Shawi),Cahuapana,FECOSHASI,Marañón
