lon,lat,nombre
-76.18174,-9.79377,Cascay
-70.31294,-14.65107,Sillota
-71.31031,-14.34251,Urinsaya Ñahui Chaccopata
-69.40589,-15.14379,Halla Alto Grande
-77.31089,-9.10852,El Ingenio
-73.41838,-13.7918,San Juan de Occollo
-73.72728,-15.00408,Muchapampa
-71.86408,-14.97152,Cucho Capilla
-77.90447,-7.57383,Moraspampa Yanas
-71.46005,-13.61257,Llachic
-72.94101,-4.12858,Constancia
-71.89696,-14.55248,Ccollana
-73.77062,-15.15811,Acos
-69.79126,-15.12214,Tiquirini Toteria
-77.56823,-8.62046,Sicsibamba
-71.3654,-14.57935,Cullcutaya
-76.99225,-9.27448,Yunguilla
-72.26293,-13.38097,Chaquepay
-71.36807,-13.95925,Pampachiri
-74.18111,-12.689,Choccehuiscca o Mosoccpampa
-71.81685,-13.9971,Sihuina
-72.82202,-4.23074,Miraflores
-78.42662,-7.83212,Mashual y Cruz de Pecop
-71.9125,-13.35519,Huanca Ayllo
-71.74505,-13.79556,Parara
-69.72294,-14.93144,Tirapunco
-76.15536,-12.18214,Huancaya
-72.32381,-13.42408,San Martin de Porres
-74.67462,-12.6101,San Martin de Mayunmarca
-72.25207,-13.49409,Curamba - Tumibamba
-70.11354,-15.73163,San Martin de Porres de Yanico
-69.70004,-15.05118,Pajchacuyo
-72.34768,-13.79823,Huarccoy
-72.84664,-15.66457,Uchumire
-77.03182,-11.25618,Ihuari
-71.15081,-14.3361,Ccaicco
-70.8638,-14.66867,Santa Cruz
-70.80434,-16.20497,Yaribaya
-74.19349,-13.12957,Mariscal Andres Avelino Caceres
-74.70999,-11.86564,Astilleria
-77.47807,-10.1214,San Lorenzo de Marca
-73.15773,-3.73186,Juan Velasco Alvarado
-72.07003,-13.76644,Roccoto Cedroni
-71.49711,-13.8857,Tintinco
-71.56979,-13.43913,Mikaypata
-74.05343,-15.24692,Huillcallama
-72.67762,-3.4359,Los Invensibles de las Amazonas
-71.82465,-13.40836,Cuyo Chico
-75.29801,-13.54162,Huayacundo Arma
-76.95266,-11.1395,Huaicho
-71.61178,-13.94171,Sangarara
-71.57995,-13.76321,Huaraypata
-73.50271,-15.43362,Ayroca
-75.67239,-11.32785,San Antonio de Ataquero
-72.09869,-13.49519,Juan Velasco Alvarado
-76.22624,-10.10953,Ayancocha
-74.53728,-12.66157,Lambrasniyocc
-71.51853,-13.64604,Pampa Camara
-70.48609,-16.12557,San Jose de Humalso
-71.63804,-14.15417,Aucho
-71.30906,-14.06752,Tiruma
-69.4886,-14.91619,Japo
-71.23456,-14.34861,Sullca
-72.326,-13.46376,Ccolccabamba
-74.06284,-13.127,Virgen del Carmen de Urpay
-70.36547,-14.82643,Collana Santa Cruz
-72.08727,-13.76646,Roccoto Cedroni
-72.99613,-13.88247,Antabamba
-69.84998,-17.53622,Talabaya
-77.23098,-8.98542,Jose Carlos Mariategui
-72.39995,-13.98467,Patarcancha
-77.19872,-10.31748,Carhuajara
-69.72864,-15.17344,Huilahuyo
-75.41948,-11.84811,Pacamarca
-69.51134,-14.56889,Cojene Rotojoni
-76.21424,-9.84104,Pachabamba
-75.22932,-13.96074,San Juan de Huirpacancha
-73.8783,-13.03648,Virgen de Cocharcas de Cochas
-77.86375,-8.72569,Kiman Ayllu
-78.80375,-6.36167,Muque Saden Liclipampa
-77.815,-8.75078,Quitaracza
-71.64543,-14.62084,Oqquebamba
-71.53331,-14.21598,Aucho
-69.03408,-16.25604,Pajana San Agustin
-78.7703,-6.91143,San Antonio de Ojos
-76.30422,-9.84651,San Sebastian de Quera
-76.18945,-12.23519,Láran de Huanchac
-71.92887,-13.30226,Pampallacta Baja
-74.11176,-12.89603,Ranra Llamahuillca
-77.69799,-7.15442,Bolivar
-77.59766,-9.67403,Santa Cruz de Rurek
-74.23317,-14.1773,Yanama
-76.4588,-12.10937,Langa
-72.20546,-13.40407,Urinsaya Collana
-74.7657,-12.50165,Los Libertadores
