lon,lat,punto,componentes,n_componentes,informe,evaluacion,registros
-76.432224,-2.809308,S0348-SED-006,Sedimento,1,INFORME N° 00016-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0348,52
-76.436378,-2.801308,S0352-SED-001,Sedimento,1,INFORME N° 00023-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0352,52
-76.435749,-2.80177,S0352-SED-002,Sedimento,1,INFORME N° 00023-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0352,52
-76.436049,-2.803995,S0366-SED-001,Sedimento,1,INFORME N° 00024-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0366,51
-76.435915,-2.804854,S0366-SED-002,Sedimento,1,INFORME N° 00024-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0366,51
-76.43514,-2.803525,S0366-SED-003,Sedimento,1,INFORME N° 00024-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0366,51
-76.435617,-2.804004,S0366-SED-004,Sedimento,1,INFORME N° 00024-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0366,51
-76.435421,-2.804981,S0366-SED-005,Sedimento,1,INFORME N° 00024-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0366,51
-76.43567,-2.803335,S0353-SED-001,Sedimento,1,INFORME N° 00034-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0353,52
-76.435616,-2.802675,S0353-SED-003,Sedimento,1,INFORME N° 00034-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0353,52
-76.435571,-2.803091,S0353-SED-002,Sedimento,1,INFORME N° 00034-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0353,52
-76.418424,-2.815493,S0350-SED-003,Sedimento,1,INFORME N° 00044-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0350,19
